id,district,sex,age,field_of_study,degree_level,grad_year,internship,digital_skills,english_self,family_prefers_public,willing_private,months_to_first_job,employed_now,sector,monthly_income_band
G277,Temburong,M,27,Health,Bachelor,2023,0,70,3,4,2,99,0,not employed,
G278,Temburong,M,24,Business,Diploma,2022,0,54,4,3,3,9.7,1,private,1500-1999
G279,Belait,F,26,Social Sciences,Bachelor,2021,0,66,3,5,1,10.4,1,public,1000-1499
G280,Brunei-Muara,F,27,IT,Master,2025,0,76,3,4,1,7.6,1,private,1000-1499
G281,Brunei-Muara,M,29,Business,Bachelor,2024,1,63,5,5,1,11.1,1,private,3000+
G282,Brunei-Muara,F,30,Engineering,Diploma,2025,1,88,4,5,1,5.7,1,public,under 1000
G283,Brunei-Muara,F,25,Social Sciences,Diploma,2022,0,59,3,4,1,11.0,1,private,under 1000
G284,Brunei-Muara,F,25,Social Sciences,Diploma,2023,1,44,4,3,1,10.2,1,public,under 1000
G285,Belait,F,25,Health,Bachelor,2022,1,56,1,5,1,7.7,1,self-employed,1000-1499
G286,Tutong,F,23,Engineering,Bachelor,2023,0,90,3,5,1,8.2,1,private,3000+
G287,Belait,M,28,Business,Bachelor,2024,0,79,4,4,4,9.9,1,private,3000+
G288,Brunei-Muara,M,28,Education,Bachelor,2025,0,66,4,1,4,3.5,1,private,1000-1499
G289,Brunei-Muara,F,30,Health,Master,2025,0,72,4,5,1,7.1,1,public,1500-1999
G290,Brunei-Muara,M,27,Social Sciences,Diploma,2024,1,56,4,4,3,10.0,1,private,
G291,Brunei-Muara,M,28,IT,Bachelor,2024,1,75,4,1,5,2.5,1,public,3000+
G292,Brunei-Muara,F,26,IT,Bachelor,2025,1,94,3,3,2,0.1,1,public,3000+
G293,Belait,F,27,Health,Diploma,2022,1,72,4,4,2,2.0,1,private,under 1000
G294,Belait,F,25,Business,Bachelor,2023,0,93,4,3,2,8.6,1,public,3000+
G295,Brunei-Muara,F,26,Social Sciences,Bachelor,2021,1,60,2,4,2,8.1,1,private,1000-1499
G296,Brunei-Muara,F,27,Engineering,Bachelor,2025,1,61,2,3,2,1.8,1,public,3000+
G297,Brunei-Muara,F,24,Social Sciences,Bachelor,2022,1,69,2,5,1,5.4,1,private,1500-1999
G298,Belait,F,29,Social Sciences,Bachelor,2025,1,47,4,5,1,12.7,1,public,3000+
G299,Brunei-Muara,M,26,Engineering,Bachelor,2024,0,59,3,3,2,8.5,1,public,1000-1499
G300,Tutong,M,25,Education,Bachelor,2024,0,72,3,4,1,99,0,not employed,
G301,Brunei-Muara,F,24,Business,Diploma,2022,0,81,4,5,2,14.2,1,public,under 1000
G302,Belait,M,24,IT,Diploma,2021,0,76,4,2,3,8.2,1,public,1000-1499
G303,Brunei-Muara,M,25,Social Sciences,Bachelor,2021,0,48,5,4,1,99,0,not employed,
G304,Belait,F,29,Islamic Studies,Diploma,2025,0,64,4,4,1,9.7,1,public,1500-1999
G305,Tutong,F,29,Business,Bachelor,2025,0,47,2,5,1,12.7,1,private,1000-1499
G306,Brunei-Muara,M,22,Islamic Studies,Bachelor,2021,1,58,4,4,1,99,0,not employed,
G307,Brunei-Muara,F,24,Business,Bachelor,2021,0,35,4,4,1,12.6,1,private,3000+
G308,Belait,F,29,Engineering,Diploma,2025,1,62,3,5,1,9.8,1,public,under 1000
G309,Brunei-Muara,F,23,Education,Master,2022,0,46,4,3,2,6.0,1,public,2000-2999
G310,Brunei-Muara,M,26,Islamic Studies,Bachelor,2021,0,52,5,3,2,11.2,1,private,1000-1499
G311,Tutong,M,25,Social Sciences,Bachelor,2023,0,68,2,3,3,12.7,1,public,
G312,Brunei-Muara,F,25,IT,Master,2025,1,84,,5,1,5.1,1,self-employed,1000-1499
G313,Brunei-Muara,F,28,Engineering,Master,2024,1,79,5,4,1,10.5,1,public,2000-2999
G314,Belait,F,28,Business,Diploma,2023,0,68,4,5,1,13.5,1,private,under 1000
G315,Brunei-Muara,F,26,Business,Bachelor,2023,0,37,4,3,1,99,0,not employed,
G316,Belait,F,29,Islamic Studies,Diploma,2024,0,71,3,3,2,7.7,1,public,under 1000
G317,Brunei-Muara,F,27,Business,Bachelor,2024,0,70,3,4,1,99,0,not employed,
G318,Brunei-Muara,F,24,Business,Diploma,2021,1,42,4,3,4,4.1,1,private,under 1000
G319,Brunei-Muara,M,29,Education,Diploma,2025,0,47,3,5,1,10.3,1,public,under 1000
G320,Belait,M,27,Engineering,Master,2023,0,89,4,4,2,99,0,not employed,
G321,Brunei-Muara,F,22,IT,Diploma,2022,0,67,3,2,2,3.6,1,private,1000-1499
G322,Brunei-Muara,M,26,Engineering,Bachelor,2024,1,100,3,3,2,0.1,1,public,1500-1999
G323,Brunei-Muara,M,25,Education,Diploma,2024,1,51,4,4,1,8.3,1,self-employed,
G324,Brunei-Muara,M,24,Health,Diploma,2021,1,59,4,5,1,5.9,1,private,under 1000
G325,Brunei-Muara,F,25,Social Sciences,Master,2024,0,62,3,4,1,12.3,1,self-employed,2000-2999
G326,Brunei-Muara,M,25,Social Sciences,Diploma,2021,0,62,3,3,2,13.0,1,private,1000-1499
G327,Temburong,M,26,Engineering,Bachelor,2021,1,74,3,3,4,4.6,1,public,3000+
G328,Brunei-Muara,F,27,IT,Master,2024,1,54,3,3,3,5.8,1,private,1000-1499
G329,Brunei-Muara,M,24,Business,Master,2022,0,48,3,3,1,10.3,1,private,3000+
G330,Brunei-Muara,M,25,Business,Diploma,2025,0,38,3,5,2,99,0,not employed,
G331,Belait,F,26,Business,Bachelor,2025,0,38,3,3,4,6.8,1,private,1000-1499
G332,Brunei-Muara,F,23,IT,Diploma,2022,1,68,5,4,1,6.9,1,public,1500-1999
G333,Tutong,F,28,Business,Bachelor,2024,0,39,5,5,1,99,0,not employed,
G334,Brunei-Muara,F,23,Engineering,Diploma,2022,1,62,5,4,1,10.4,1,private,under 1000
G335,Brunei-Muara,M,24,Social Sciences,Bachelor,2021,0,44,5,3,3,10.7,1,self-employed,1500-1999
G336,Tutong,M,24,Education,Diploma,2022,0,49,2,3,3,10.7,1,self-employed,1000-1499
G337,Brunei-Muara,F,26,Business,Master,2025,1,54,3,3,4,6.3,1,self-employed,2000-2999
G338,Tutong,F,22,Education,Bachelor,2022,0,47,3,4,1,7.8,1,public,1000-1499
G339,Temburong,F,24,Social Sciences,Bachelor,2024,0,34,4,5,1,11.9,1,public,
G340,Belait,F,25,Health,Bachelor,2023,1,69,5,4,1,4.4,1,public,1500-1999
G341,Belait,F,28,IT,Bachelor,2024,1,98,3,3,2,0.8,1,public,1000-1499
G342,Brunei-Muara,F,23,Social Sciences,Bachelor,2023,0,79,3,3,2,11.4,1,private,2000-2999
G343,Tutong,M,28,Social Sciences,Diploma,2023,1,58,3,5,1,10.2,1,private,1000-1499
G344,Brunei-Muara,F,24,Business,Bachelor,2023,0,76,2,3,2,8.4,1,self-employed,
G345,Temburong,F,26,Business,Bachelor,2022,1,41,4,3,4,5.3,1,private,3000+
G346,Brunei-Muara,F,30,Health,Bachelor,2025,0,79,2,3,4,0.1,1,public,1500-1999
G347,Brunei-Muara,F,26,Business,Bachelor,2022,1,35,4,3,3,6.9,1,private,3000+
G348,Tutong,F,25,Social Sciences,Bachelor,2025,1,63,4,4,3,10.6,1,public,2000-2999
G349,Tutong,F,27,IT,Diploma,2023,1,60,4,3,2,0,1,private,
G350,Tutong,F,28,Business,Bachelor,2024,,19,3,4,1,12.0,1,self-employed,2000-2999
G351,Brunei-Muara,M,27,Social Sciences,Bachelor,2024,1,73,3,4,2,6.6,1,private,2000-2999
G352,Temburong,M,22,Engineering,Diploma,2021,1,68,3,3,2,6.6,1,private,under 1000
G353,Tutong,M,28,Education,Master,2024,1,63,4,5,1,99,0,not employed,
G354,Brunei-Muara,F,25,IT,Bachelor,2025,1,59,4,5,1,4.5,1,private,
G355,Brunei-Muara,F,25,Education,Diploma,2021,1,46,3,4,1,8.3,1,public,1500-1999
G356,Brunei-Muara,F,24,Social Sciences,Bachelor,2023,,60,4,3,2,13.3,1,public,1000-1499
G357,Tutong,F,23,Social Sciences,Bachelor,2022,0,36,4,5,1,16.6,1,public,1500-1999
G358,Tutong,M,29,Business,Bachelor,2024,0,61,3,4,1,12.4,1,private,3000+
G359,Brunei-Muara,F,25,IT,Bachelor,2021,1,68,4,3,2,5.0,1,public,3000+
G360,Brunei-Muara,F,22,Social Sciences,Master,2021,0,58,4,3,2,6.4,1,public,2000-2999
G361,Tutong,F,26,IT,Diploma,2021,1,61,4,3,3,5.3,1,self-employed,1000-1499
G362,Brunei-Muara,M,25,Engineering,Master,2022,1,35,3,4,2,9.1,1,private,2000-2999
G363,Brunei-Muara,M,27,Business,Diploma,2023,1,29,3,5,1,9.9,1,private,1500-1999
G364,Tutong,F,28,IT,Bachelor,2025,1,72,4,4,3,5.0,1,public,1000-1499
G365,Brunei-Muara,M,25,Social Sciences,Bachelor,2023,0,72,4,5,1,13.2,1,private,2000-2999
G366,Belait,M,23,Social Sciences,Bachelor,2021,0,74,5,3,2,6.9,1,public,1000-1499
G367,Brunei-Muara,F,26,Islamic Studies,Diploma,2023,0,62,4,4,1,13.9,1,private,under 1000
G368,Brunei-Muara,F,28,Engineering,Bachelor,2024,1,74,2,3,2,4.1,1,self-employed,3000+
G369,Belait,M,26,Social Sciences,Bachelor,2024,0,48,3,4,1,11.8,1,public,
G370,Brunei-Muara,F,25,Business,Bachelor,2023,0,71,3,3,4,8.7,1,private,2000-2999
G371,Temburong,M,25,IT,Diploma,2022,1,72,4,3,3,2.6,1,private,1500-1999
G372,Belait,F,25,Business,Bachelor,2024,1,32,3,4,2,8.7,1,public,1000-1499
G373,Tutong,F,30,Business,Master,2025,0,58,5,3,4,8.3,1,public,1500-1999
G374,Brunei-Muara,M,24,Education,Master,2024,0,69,3,4,2,6.8,1,public,
G375,Brunei-Muara,M,25,Engineering,Bachelor,2024,0,93,3,3,2,8.7,1,private,1500-1999
G376,Brunei-Muara,M,30,Social Sciences,Bachelor,2025,1,62,5,3,3,5.2,1,public,3000+
G377,Brunei-Muara,F,28,Engineering,Diploma,2024,0,79,3,5,1,8.6,1,private,1500-1999
G378,Brunei-Muara,F,22,Health,Diploma,2022,0,47,3,4,1,9.6,1,private,under 1000
G379,Belait,F,28,Business,Diploma,2025,0,66,3,4,2,6.0,1,private,1500-1999
G380,Temburong,F,25,Education,Master,2025,0,41,4,3,2,7.2,1,public,1000-1499
G381,Tutong,M,23,Education,Diploma,2023,1,66,3,3,2,6.4,1,public,1500-1999
G382,Brunei-Muara,F,24,Engineering,Bachelor,2023,1,64,4,2,4,2.4,1,private,2000-2999
G383,Brunei-Muara,M,25,Education,Bachelor,2022,1,70,,2,3,1.9,1,public,1500-1999
G384,Belait,M,27,Business,Bachelor,2023,0,53,3,4,4,11.1,1,private,2000-2999
G385,Brunei-Muara,F,22,Health,Master,2022,1,61,4,5,1,1.4,1,self-employed,3000+
G386,Brunei-Muara,F,28,Social Sciences,Master,2025,0,48,5,4,1,99,0,not employed,
G387,Tutong,F,25,Business,Diploma,2025,0,30,3,4,1,11.6,1,public,under 1000
G388,Belait,M,23,Education,Master,2023,1,67,5,4,1,3.0,1,private,3000+
G389,Brunei-Muara,F,25,Engineering,Bachelor,2023,0,40,3,5,1,7.3,1,private,2000-2999
G390,Tutong,M,27,Business,Diploma,2024,0,54,3,5,1,9.7,1,private,under 1000
G391,Brunei-Muara,M,25,Social Sciences,Bachelor,2025,1,75,3,3,4,8.7,1,self-employed,1000-1499
G392,Brunei-Muara,M,30,Health,Diploma,2025,1,49,5,4,1,2.8,1,private,1000-1499
G393,Tutong,F,22,Health,Bachelor,2022,0,57,3,4,3,6.8,1,public,3000+
G394,Belait,F,24,Engineering,Diploma,2021,1,48,3,4,1,7.7,1,public,
G395,Brunei-Muara,M,25,Social Sciences,Bachelor,2022,0,63,4,4,2,12.6,1,private,1000-1499
G396,Tutong,M,24,IT,Master,2024,1,42,4,4,2,11.5,1,public,2000-2999
G397,Brunei-Muara,M,27,Social Sciences,Bachelor,2024,1,67,5,2,3,8.1,1,private,3000+
G398,Brunei-Muara,F,24,IT,Diploma,2021,1,42,3,3,3,6.8,1,private,1000-1499
G399,Belait,M,25,Social Sciences,Bachelor,2021,0,69,4,5,1,9.1,1,public,1500-1999
G400,Brunei-Muara,F,26,Education,Diploma,2021,1,88,3,3,3,3.3,1,private,under 1000
